Al,Sc,V,Cr,Mn,Fe(II),Fe(III),Co,Cu,Zn,In,MA-Fe,MA-Co,c_2py,c_epox,c_uf1,c_uf3,c_uf4,avg_valence
0,0,0,0,0,0,0,0,0,50,50,100,0,0.30871791,0.0,0.0,0.077348038,0.0,2.5
0,0,0,0,0,0,0,0,0,100,0,100,0,0.309059648,0.0,0.0,0.058028106,0.0,2.0
0,0,0,0,0,0,0,0,50,0,50,100,0,0.280478139,0.0,0.0,0.09246983,0.0,2.5
0,0,0,0,0,0,0,0,100,0,0,100,0,0.255062921,0.0,0.0,0.113308832,0.0,2.0
0,0,0,0,0,0,0,50,0,50,0,100,0,0.332034027,0.0,0.0,0.072385797,0.0,2.0
0,0,0,0,0,0,0,50,50,0,0,100,0,0.289929186,0.0,0.0,0.103901047,0.0,2.0
0,0,0,0,0,0,0,100,0,0,0,100,0,0.341700485,0.0,0.0,0.074051893,0.0,2.0
0,0,0,0,0,0,50,0,50,0,0,100,0,0.271706385,0.0,0.0,0.115761468,0.0,2.5
0,0,0,0,0,0,50,50,0,0,0,100,0,0.334765665,0.0,0.0,0.083152942,0.0,2.5
0,0,0,0,0,0,100,0,0,0,0,100,0,0.244943421,0.059683486,0.0,0.128345964,0.0,3.0
0,0,0,0,0,50,0,0,0,0,50,100,0,0.334185308,0.0,0.0,0.093687194,0.0,2.5
0,0,0,0,0,50,0,0,0,50,0,100,0,0.319647925,0.0,0.0,0.072092142,0.0,2.0
0,0,0,0,0,50,0,0,50,0,0,100,0,0.272310342,0.0,0.0,0.113443768,0.0,2.0
0,0,0,0,0,50,0,50,0,0,0,100,0,0.3367577,0.0,0.0,0.074194374,0.0,2.0
0,0,0,0,0,50,50,0,0,0,0,100,0,0.282495259,0.0,0.0,0.126482309,0.0,2.5
0,0,0,0,0,100,0,0,0,0,0,100,0,0.342430999,0.0,0.0,0.101029132,0.0,2.0
0,0,0,0,50,0,0,0,0,0,50,100,0,0.298540067,0.0,0.0,0.118676135,0.0,2.5
0,0,0,0,50,0,0,50,0,0,0,100,0,0.328389955,0.0,0.0,0.09648784,0.0,2.0
0,0,0,0,50,50,0,0,0,0,0,100,0,0.299194287,0.0,0.0,0.096834069,0.0,2.0
0,0,0,50,0,0,0,0,0,50,0,100,0,0.29926619,0.0,0.0,0.052084559,0.0,2.5
0,0,0,50,0,0,0,0,50,0,0,100,0,0.27123153,0.0,0.0,0.086078433,0.0,2.5
0,0,0,50,0,0,0,50,0,0,0,100,0,0.319002939,0.0,0.0,0.078788325,0.0,2.5
0,0,0,50,50,0,0,0,0,0,0,100,0,0.297548865,0.0,0.0,0.08525534,0.0,2.5
0,0,0,100,0,0,0,0,0,0,0,100,0,0.266631877,0.0,0.0,0.131702013,0.0,3.0
0,0,50,0,0,0,0,0,0,0,50,100,0,0.294024959,0.0,0.0,0.10327207,0.0,3.0
0,0,50,0,0,0,0,0,0,50,0,100,0,0.312261833,0.0,0.0,0.096639778,0.0,2.5
0,0,50,0,0,0,0,0,50,0,0,100,0,0.225832218,0.014006222,0.0,0.115040486,0.0,2.5
0,0,50,0,0,0,0,50,0,0,0,100,0,0.297191597,0.0,0.0,0.098468744,0.0,2.5
0,0,50,0,0,50,0,0,0,0,0,100,0,0.286393411,0.0,0.0,0.121024628,0.0,2.5
0,0,50,0,50,0,0,0,0,0,0,100,0,0.299279356,0.0,0.0,0.107859659,0.0,2.5
0,0,50,50,0,0,0,0,0,0,0,100,0,0.253592,0.067906767,0.0,0.114918191,0.0,3.0
0,50,0,0,0,0,0,0,0,0,50,100,0,0.313547115,0.0,0.0,0.09264742,0.0,3.0
0,50,0,0,0,0,0,0,0,50,0,100,0,0.30101801,0.0,0.0,0.06825517,0.0,2.5
0,50,0,0,0,0,0,0,50,0,0,100,0,0.282882421,0.0,0.0,0.09273174,0.0,2.5
0,50,0,0,0,0,0,50,0,0,0,100,0,0.340871553,0.0,0.0,0.089141863,0.0,2.5
0,50,0,0,0,0,50,0,0,0,0,100,0,0.253517181,0.007366,0.0,0.153245494,0.0,3.0
0,50,0,0,0,50,0,0,0,0,0,100,0,0.279259345,0.0,0.0,0.132450647,0.0,2.5
0,50,0,0,50,0,0,0,0,0,0,100,0,0.32925002,0.0,0.0,0.086697359,0.0,2.5
0,50,0,50,0,0,0,0,0,0,0,100,0,0.270013537,0.0,0.0,0.114587622,0.0,3.0
0,50,50,0,0,0,0,0,0,0,0,100,0,0.264321109,0.042138612,0.0,0.129256427,0.0,3.0
0,100,0,0,0,0,0,0,0,0,0,100,0,0.266969809,0.0,0.0,0.106185355,0.0,3.0
50,0,0,0,0,0,0,0,0,0,50,100,0,0.293594212,0.0,0.0,0.06094313,0.0,3.0
50,0,0,0,0,0,0,0,0,50,0,100,0,0.306930239,0.0,0.0,0.062910325,0.0,2.5
50,0,0,0,0,0,0,0,50,0,0,100,0,0.285705966,0.0,0.0,0.089109149,0.0,2.5
